"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.525,0.575,0.375,0.575,0.375,0.475,0.425,0.475,0.45,0.475,0.45,0.525,0.525,0.5,0.575,0.625,0.5,0.4,0.525,0.55,0.45,0.45,0.45,0.475,0.575,0.475,0.5,0.6,0.375,0.45,0.475,0.525,0.35,0.575,0.45,0.3,0.55,0.5,0.375,0.55,0.45,0.475,0.425,0.6,0.4,0.325,0.55,0.5,0.4,0.6,0.475,0.5,0.375,0.55,0.625,0.4,0.575,0.4,0.55,0.675,0.55,0.35,0.6,0.5,0.5,0.475,0.55,0.65,0.425,0.375,0.5,0.6,0.5,0.575,0.6,0.525,0.525,0.475,0.425,0.45,0.475,0.425,0.525,0.475,0.475,0.575,0.45,0.525,0.45,0.425,0.5,0.525,0.5,0.55,0.45,0.6,0.625,0.475,0.45,0.425
0.525,0.65,0.45,0.55,0.275,0.525,0.6,0.475,0.325,0.475,0.45,0.425,0.625,0.475,0.45,0.8,0.425,0.425,0.45,0.425,0.325,0.5,0.625,0.5,0.575,0.475,0.475,0.625,0.35,0.575,0.425,0.575,0.375,0.575,0.375,0.25,0.625,0.45,0.3,0.425,0.5,0.575,0.425,0.6,0.325,0.325,0.65,0.475,0.375,0.7,0.5,0.5,0.475,0.325,0.625,0.475,0.5,0.5,0.7,0.65,0.575,0.275,0.7,0.525,0.575,0.55,0.5,0.65,0.4,0.55,0.45,0.55,0.375,0.5,0.575,0.525,0.4,0.45,0.4,0.35,0.5,0.425,0.525,0.5,0.575,0.475,0.425,0.475,0.4,0.5,0.475,0.25,0.55,0.625,0.55,0.525,0.575,0.4,0.5,0.525
0.55,0.675,0.45,0.625,0.475,0.55,0.6,0.45,0.4,0.425,0.45,0.4,0.675,0.425,0.55,0.95,0.4,0.35,0.475,0.475,0.3,0.325,0.65,0.4,0.675,0.475,0.525,0.575,0.325,0.625,0.45,0.6,0.325,0.65,0.275,0.175,0.7,0.4,0.375,0.475,0.475,0.525,0.45,0.5,0.35,0.3,0.675,0.35,0.5,0.675,0.525,0.6,0.45,0.25,0.55,0.5,0.5,0.675,0.825,0.55,0.65,0.25,0.75,0.675,0.7,0.475,0.375,0.775,0.35,0.625,0.45,0.55,0.35,0.5,0.5,0.475,0.5,0.425,0.475,0.55,0.575,0.525,0.525,0.45,0.575,0.55,0.375,0.475,0.325,0.475,0.575,0.2,0.55,0.625,0.575,0.525,0.625,0.475,0.575,0.625
0.575,0.625,0.575,0.65,0.275,0.65,0.625,0.5,0.425,0.4,0.5,0.325,0.725,0.45,0.425,0.975,0.525,0.325,0.45,0.475,0.125,0.25,0.75,0.425,0.6,0.475,0.5,0.5,0.25,0.525,0.35,0.6,0.35,0.775,0.225,0.175,0.65,0.525,0.325,0.575,0.4,0.5,0.4,0.425,0.525,0.25,0.85,0.475,0.6,0.7,0.675,0.625,0.4,0.225,0.5,0.625,0.425,0.7,0.825,0.5,0.575,0.375,0.675,0.825,0.7,0.3,0.275,0.8,0.35,0.6,0.425,0.45,0.325,0.45,0.5,0.475,0.575,0.375,0.375,0.425,0.575,0.6,0.55,0.55,0.55,0.65,0.45,0.6,0.3,0.625,0.65,0.25,0.6,0.625,0.65,0.525,0.775,0.575,0.625,0.625
0.575,0.7,0.575,0.65,0.125,0.7,0.675,0.575,0.4,0.375,0.55,0.325,0.9,0.45,0.325,1,0.525,0.325,0.475,0.525,0.125,0.25,0.7,0.475,0.5,0.425,0.475,0.375,0.25,0.525,0.425,0.65,0.425,0.7,0.225,0.225,0.7,0.475,0.3,0.625,0.275,0.575,0.4,0.4,0.6,0.3,0.825,0.35,0.475,0.65,0.6,0.725,0.325,0.2,0.575,0.6,0.35,0.65,0.725,0.475,0.5,0.3,0.675,0.875,0.625,0.3,0.2,0.9,0.525,0.65,0.35,0.425,0.25,0.5,0.475,0.55,0.6,0.3,0.35,0.425,0.575,0.55,0.575,0.6,0.55,0.625,0.225,0.5,0.2,0.675,0.7,0.275,0.625,0.525,0.6,0.525,0.825,0.55,0.625,0.525
0.5,0.7,0.525,0.675,0.175,0.7,0.675,0.5,0.375,0.3,0.7,0.35,0.85,0.575,0.3,1,0.65,0.15,0.35,0.6,0.125,0.25,0.825,0.525,0.5,0.475,0.4,0.4,0.35,0.35,0.35,0.7,0.325,0.85,0.15,0.1,0.7,0.425,0.225,0.625,0.325,0.525,0.35,0.4,0.525,0.3,0.85,0.4,0.4,0.65,0.6,0.7,0.45,0.075,0.375,0.55,0.375,0.75,0.75,0.475,0.425,0.275,0.525,0.925,0.65,0.2,0.2,0.95,0.55,0.55,0.45,0.45,0.2,0.525,0.475,0.6,0.775,0.275,0.4,0.45,0.625,0.475,0.65,0.6,0.7,0.625,0.225,0.55,0.05,0.675,0.65,0.325,0.6,0.425,0.625,0.525,0.8,0.525,0.55,0.55
0.525,0.675,0.425,0.65,0.25,0.575,0.675,0.625,0.475,0.3,0.575,0.3,0.85,0.575,0.275,1,0.6,0.25,0.45,0.625,0.175,0.25,0.925,0.375,0.5,0.375,0.2,0.3,0.4,0.4,0.375,0.675,0.35,0.875,0.15,0.125,0.8,0.375,0.175,0.7,0.25,0.425,0.4,0.575,0.475,0.325,0.75,0.3,0.375,0.575,0.55,0.75,0.475,0.05,0.4,0.675,0.325,0.675,0.85,0.475,0.3,0.175,0.4,0.925,0.625,0.175,0.175,0.925,0.625,0.625,0.55,0.375,0.125,0.55,0.425,0.65,0.775,0.225,0.35,0.35,0.575,0.45,0.625,0.45,0.725,0.525,0.05,0.5,0,0.8,0.45,0.375,0.4,0.425,0.625,0.525,0.625,0.55,0.575,0.4
0.675,0.7,0.4,0.6,0.225,0.575,0.725,0.65,0.55,0.25,0.675,0.25,0.9,0.65,0.275,1,0.775,0.275,0.5,0.7,0.15,0.275,0.975,0.375,0.575,0.5,0.1,0.3,0.4,0.375,0.475,0.75,0.4,0.825,0.2,0.075,0.775,0.35,0.075,0.675,0.225,0.45,0.35,0.575,0.55,0.25,0.725,0.35,0.4,0.675,0.425,0.725,0.5,0.125,0.325,0.6,0.35,0.625,0.725,0.3,0.25,0.3,0.325,0.9,0.65,0.125,0.15,0.9,0.775,0.55,0.675,0.3,0.05,0.65,0.425,0.6,0.675,0.3,0.25,0.3,0.625,0.45,0.575,0.45,0.7,0.575,0.05,0.525,0,0.775,0.325,0.45,0.475,0.55,0.55,0.525,0.6,0.65,0.625,0.425
0.65,0.825,0.375,0.575,0.125,0.525,0.725,0.675,0.55,0.225,0.625,0.325,0.8,0.675,0.3,1,0.725,0.225,0.375,0.75,0.175,0.25,0.95,0.3,0.6,0.5,0.05,0.3,0.4,0.5,0.5,0.825,0.45,0.775,0.175,0.1,0.675,0.2,0.15,0.7,0.15,0.55,0.475,0.55,0.45,0.25,0.725,0.3,0.325,0.625,0.425,0.725,0.625,0,0.25,0.55,0.3,0.6,0.775,0.3,0.225,0.25,0.275,0.85,0.75,0.15,0.2,0.925,0.75,0.45,0.75,0.2,0,0.625,0.575,0.525,0.7,0.25,0.2,0.25,0.65,0.45,0.55,0.525,0.65,0.675,0.05,0.525,0,0.725,0.45,0.525,0.35,0.525,0.475,0.525,0.675,0.55,0.6,0.55
