"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
0.8995,0.9031,0.90135,0.90075,0.8999,0.90145,0.8982,0.8977,0.89945,0.8993,0.9005,0.90175,0.9012,0.90075,0.90065,0.90345,0.89855,0.9027,0.90005,0.903,0.89945,0.89815,0.9032,0.8999,0.9028,0.89645,0.9009,0.9001,0.9041,0.89855,0.899,0.89915,0.90055,0.9003,0.8976,0.9001,0.8987,0.89805,0.9012,0.9012,0.8995,0.89965,0.90005,0.9022,0.8994,0.89775,0.90265,0.8949,0.9017,0.9007,0.9007,0.8962,0.90135,0.9032,0.8951,0.89915,0.8991,0.902,0.8999,0.8979,0.90025,0.9004,0.9029,0.89975,0.89905,0.9015,0.90115,0.89815,0.89845,0.9007,0.9024,0.89835,0.90235,0.9018,0.90195,0.9033,0.89845,0.89575,0.8985,0.89845,0.8997,0.9008,0.90245,0.90205,0.90405,0.8962,0.8998,0.8998,0.8979,0.8986,0.9005,0.8985,0.8995,0.89705,0.89865,0.89955,0.8975,0.8982,0.90155,0.89935
0.8976,0.9025,0.9014,0.9013,0.8991,0.9022,0.89835,0.8954,0.89715,0.8998,0.89875,0.90315,0.905,0.90155,0.89935,0.90665,0.8985,0.90195,0.89925,0.9025,0.8976,0.8992,0.904,0.9004,0.90075,0.8955,0.90115,0.9023,0.9051,0.89935,0.89955,0.8999,0.89855,0.90465,0.899,0.9058,0.89465,0.8974,0.90185,0.90335,0.9,0.8997,0.9029,0.90375,0.89595,0.89835,0.9051,0.8965,0.90095,0.8946,0.90485,0.89795,0.9014,0.90365,0.8949,0.9001,0.8962,0.9029,0.8999,0.89925,0.89905,0.89945,0.90205,0.9032,0.89675,0.903,0.89755,0.9001,0.90095,0.90145,0.90355,0.90215,0.90335,0.8996,0.9007,0.90425,0.9004,0.89565,0.89675,0.9005,0.8996,0.90015,0.9015,0.90115,0.90265,0.894,0.8983,0.9007,0.90005,0.8978,0.904,0.89765,0.902,0.89345,0.8973,0.90005,0.89975,0.90375,0.90335,0.89705
0.89695,0.9021,0.89545,0.90165,0.9011,0.9031,0.89705,0.8952,0.8975,0.89865,0.89875,0.90695,0.90585,0.9028,0.9013,0.90445,0.89995,0.90285,0.90115,0.90615,0.89695,0.8994,0.90235,0.90305,0.8988,0.89565,0.90195,0.8993,0.9033,0.9035,0.9,0.89355,0.8973,0.9051,0.90135,0.90515,0.89535,0.894,0.90235,0.90195,0.8966,0.899,0.90315,0.90795,0.89445,0.8993,0.9029,0.89865,0.90205,0.8967,0.90565,0.8954,0.89985,0.90235,0.89635,0.8975,0.897,0.89965,0.89935,0.9036,0.89985,0.90085,0.90225,0.90285,0.89755,0.90285,0.89795,0.9053,0.9055,0.903,0.9045,0.90065,0.90155,0.90355,0.8985,0.90465,0.8997,0.893,0.89655,0.90115,0.89895,0.90295,0.90035,0.89685,0.904,0.8907,0.8956,0.89755,0.90255,0.89965,0.90395,0.8956,0.90355,0.89355,0.8946,0.9007,0.89905,0.9021,0.90195,0.8943
0.8971,0.9039,0.8987,0.9013,0.9008,0.8979,0.89905,0.8968,0.89835,0.89865,0.89895,0.9061,0.9061,0.90265,0.89865,0.90395,0.9006,0.89985,0.902,0.9022,0.8966,0.9011,0.9045,0.90495,0.8967,0.8931,0.8993,0.9002,0.9049,0.907,0.89895,0.89985,0.89855,0.905,0.9022,0.8988,0.89255,0.89435,0.90545,0.90395,0.89595,0.9006,0.90095,0.90755,0.89495,0.8993,0.90365,0.898,0.9053,0.89765,0.9026,0.89655,0.8963,0.90305,0.8993,0.89635,0.89575,0.89905,0.89875,0.9022,0.902,0.90175,0.90285,0.9003,0.8966,0.90525,0.90035,0.9053,0.90945,0.90115,0.9043,0.8995,0.9005,0.9013,0.89945,0.90515,0.9039,0.8906,0.89525,0.9008,0.8995,0.90265,0.90055,0.8948,0.9036,0.8913,0.8976,0.8972,0.9025,0.8994,0.90585,0.89615,0.90565,0.8948,0.8978,0.9012,0.89665,0.89835,0.9035,0.89275
0.8964,0.9032,0.8982,0.9005,0.8993,0.8982,0.8996,0.89625,0.8971,0.89495,0.8978,0.9043,0.90525,0.90485,0.89755,0.89955,0.90125,0.90275,0.9002,0.90225,0.89575,0.8983,0.903,0.89945,0.897,0.89355,0.89805,0.8971,0.90485,0.90915,0.897,0.90055,0.89825,0.90515,0.89745,0.8993,0.89365,0.8911,0.90385,0.903,0.89255,0.89655,0.9045,0.90945,0.8966,0.90095,0.90165,0.89705,0.90505,0.8947,0.9017,0.8972,0.8923,0.9038,0.8982,0.89665,0.89295,0.89825,0.90085,0.9018,0.90245,0.9065,0.9034,0.9,0.89555,0.90455,0.9042,0.905,0.91275,0.9015,0.90435,0.90055,0.9001,0.90435,0.89835,0.904,0.90165,0.88845,0.89675,0.901,0.90015,0.8978,0.90325,0.89525,0.90395,0.89175,0.8957,0.8999,0.9035,0.90065,0.90455,0.8959,0.90625,0.8914,0.9028,0.8995,0.89805,0.8998,0.90325,0.89255
0.89575,0.9,0.89835,0.9006,0.9025,0.8961,0.90135,0.897,0.8959,0.894,0.89845,0.90545,0.9026,0.9065,0.89865,0.89965,0.90045,0.9015,0.9008,0.9002,0.89225,0.89815,0.90505,0.90125,0.8985,0.89085,0.9018,0.89745,0.90415,0.9095,0.89455,0.89835,0.897,0.90565,0.8963,0.9022,0.8949,0.88975,0.9047,0.90315,0.89455,0.89525,0.90415,0.90685,0.89945,0.9005,0.90295,0.89885,0.90255,0.8949,0.9014,0.89975,0.8896,0.9007,0.897,0.89505,0.88795,0.9001,0.9008,0.90215,0.9012,0.90375,0.90675,0.8983,0.89425,0.90605,0.90295,0.90585,0.91325,0.8995,0.90145,0.90095,0.89915,0.9035,0.90095,0.90315,0.89995,0.88885,0.8943,0.90215,0.90355,0.8971,0.9042,0.8948,0.90865,0.89375,0.8973,0.899,0.9021,0.90025,0.9073,0.8968,0.9038,0.89075,0.90535,0.9013,0.8936,0.90075,0.90415,0.89315
0.8994,0.9026,0.90145,0.89735,0.90525,0.89735,0.9011,0.89335,0.8943,0.8912,0.89545,0.9043,0.9011,0.90605,0.89815,0.8986,0.9,0.90255,0.90435,0.9032,0.88935,0.89825,0.90315,0.90565,0.89705,0.89185,0.9011,0.8991,0.90345,0.90585,0.89775,0.90115,0.89775,0.9038,0.8963,0.8989,0.89775,0.88945,0.90285,0.9046,0.89615,0.896,0.90035,0.90665,0.8977,0.9012,0.90365,0.8981,0.89865,0.89715,0.90445,0.9028,0.88545,0.8989,0.89445,0.895,0.8874,0.9012,0.9042,0.90345,0.89985,0.90415,0.9075,0.89615,0.89625,0.90995,0.9023,0.9083,0.9117,0.9001,0.9018,0.90415,0.89955,0.90185,0.90155,0.8994,0.90185,0.88675,0.89475,0.9024,0.9048,0.8968,0.9044,0.8951,0.9104,0.89835,0.8963,0.9005,0.90015,0.89865,0.9072,0.89595,0.90055,0.88955,0.90595,0.9003,0.89105,0.90045,0.9034,0.89315
0.8979,0.907,0.90295,0.89545,0.9055,0.8966,0.9014,0.8947,0.88765,0.88885,0.8963,0.90465,0.90155,0.90705,0.89515,0.9007,0.89705,0.90025,0.90765,0.90105,0.8916,0.89955,0.90185,0.9044,0.89085,0.8929,0.89955,0.9003,0.90115,0.9053,0.89785,0.89935,0.8991,0.9029,0.8967,0.8995,0.8977,0.8887,0.90465,0.90565,0.8995,0.8979,0.90935,0.9061,0.89695,0.9008,0.9054,0.89775,0.90175,0.89395,0.9037,0.9023,0.8892,0.8952,0.8958,0.89515,0.8884,0.9029,0.90465,0.90335,0.90315,0.9031,0.9057,0.89895,0.8953,0.91075,0.90195,0.9082,0.91135,0.8983,0.90165,0.90465,0.89805,0.90125,0.8989,0.898,0.901,0.8843,0.89455,0.9026,0.9067,0.8913,0.90355,0.89885,0.91445,0.89475,0.89285,0.9046,0.89935,0.89975,0.9025,0.8939,0.90175,0.88915,0.9074,0.8988,0.8912,0.8975,0.90265,0.8917
0.8978,0.9059,0.9045,0.89405,0.9036,0.89745,0.90095,0.89605,0.88505,0.8894,0.8912,0.9028,0.9017,0.90935,0.8905,0.90065,0.90035,0.8995,0.9072,0.90185,0.8925,0.90135,0.90175,0.9016,0.8866,0.8942,0.8968,0.90165,0.9001,0.90995,0.8993,0.9004,0.902,0.9005,0.89365,0.89835,0.89565,0.88445,0.9028,0.90775,0.9012,0.8985,0.90945,0.9024,0.90005,0.90265,0.90405,0.90175,0.9006,0.8946,0.9041,0.8987,0.88875,0.89205,0.89435,0.8978,0.89085,0.9054,0.9077,0.9032,0.90625,0.9016,0.9078,0.8964,0.897,0.9128,0.89795,0.9091,0.91435,0.90055,0.90095,0.9066,0.89285,0.9037,0.90135,0.8952,0.8997,0.88385,0.89405,0.90025,0.9083,0.89155,0.9043,0.89585,0.9172,0.8964,0.8937,0.90145,0.90325,0.89755,0.90215,0.897,0.9039,0.88765,0.9123,0.90115,0.89485,0.898,0.90175,0.89045
